timestamp,open,high,low,close,volume
1766160000000,0.352,0.362,0.352,0.356,3962498.97
1766163600000,0.357,0.36,0.345,0.345,4810522.29
1766167200000,0.346,0.352,0.344,0.35,2024530.96
1766170800000,0.351,0.36,0.35,0.357,2755591.23
1766174400000,0.358,0.361,0.357,0.359,1718613.88
1766178000000,0.359,0.36,0.355,0.355,1518666.4
1766181600000,0.355,0.36,0.355,0.358,1107307.87
1766185200000,0.358,0.359,0.356,0.357,636787.32
1766188800000,0.356,0.358,0.354,0.357,1270119.99
1766192400000,0.357,0.358,0.355,0.356,1028012.78
1766196000000,0.356,0.357,0.354,0.355,1103050.8
1766199600000,0.355,0.355,0.353,0.355,832232.89
1766203200000,0.354,0.355,0.35,0.35,994771.09
1766206800000,0.351,0.352,0.35,0.35,871192.56
1766210400000,0.351,0.351,0.349,0.351,292787.76
1766214000000,0.35,0.352,0.35,0.352,665767.47
1766217600000,0.352,0.355,0.351,0.352,1150978.76
1766221200000,0.351,0.353,0.351,0.351,713575.83
1766224800000,0.352,0.352,0.347,0.347,986612.48
1766228400000,0.347,0.35,0.347,0.35,785347.35
1766232000000,0.349,0.35,0.347,0.349,1083605.13
1766235600000,0.349,0.35,0.346,0.35,1779424.49
1766239200000,0.349,0.351,0.347,0.35,923909.55
1766242800000,0.35,0.352,0.347,0.348,1237376.86
1766246400000,0.348,0.349,0.347,0.348,1215806.04
1766250000000,0.348,0.351,0.347,0.348,1334210.84
1766253600000,0.348,0.35,0.347,0.349,943226.2
1766257200000,0.349,0.35,0.348,0.349,826166.7
1766260800000,0.348,0.349,0.347,0.348,877606.83
1766264400000,0.348,0.349,0.346,0.346,407652.94
1766268000000,0.345,0.349,0.345,0.348,657427.57
1766271600000,0.347,0.348,0.345,0.345,1003880.35
1766275200000,0.346,0.347,0.344,0.346,1076674.22
1766278800000,0.346,0.346,0.342,0.342,1080750.43
1766282400000,0.342,0.345,0.341,0.342,2123877.44
1766286000000,0.342,0.347,0.342,0.345,764960.29
1766289600000,0.345,0.346,0.345,0.346,464905.48
1766293200000,0.345,0.35,0.345,0.348,1010381.35
1766296800000,0.348,0.35,0.347,0.35,845764.45
1766300400000,0.35,0.35,0.347,0.347,535839.54
1766304000000,0.347,0.35,0.346,0.349,769329.77
1766307600000,0.348,0.35,0.347,0.349,1569257.83
1766311200000,0.349,0.351,0.346,0.348,903572.33
1766314800000,0.348,0.348,0.346,0.346,560063.79
1766318400000,0.346,0.349,0.341,0.343,2347234.66
1766322000000,0.343,0.343,0.331,0.332,3792558.27
1766325600000,0.332,0.337,0.331,0.334,2127960.74
1766329200000,0.335,0.338,0.334,0.337,1676464.07
1766332800000,0.336,0.339,0.334,0.338,728488.83
1766336400000,0.338,0.34,0.336,0.337,1232698.45
1766340000000,0.337,0.337,0.333,0.336,762060.39
1766343600000,0.336,0.338,0.334,0.337,726063.4
1766347200000,0.336,0.337,0.334,0.336,519104.33
1766350800000,0.335,0.338,0.335,0.336,845396.7
1766354400000,0.336,0.341,0.335,0.34,594287.69
1766358000000,0.34,0.343,0.338,0.341,1343338.14
1766361600000,0.341,0.352,0.34,0.343,4113289.62
1766365200000,0.343,0.346,0.341,0.342,2234060.31
1766368800000,0.342,0.342,0.335,0.338,1666894.5
1766372400000,0.338,0.343,0.337,0.342,768284.66
1766376000000,0.342,0.343,0.341,0.342,877792.09
1766379600000,0.342,0.343,0.339,0.34,738317.02
1766383200000,0.34,0.34,0.338,0.339,506424.33
1766386800000,0.338,0.34,0.337,0.339,797410.23
1766390400000,0.339,0.343,0.337,0.338,1691477.66
1766394000000,0.337,0.338,0.334,0.336,1137631.25
1766397600000,0.336,0.338,0.334,0.337,688428.32
1766401200000,0.337,0.341,0.335,0.339,1323776.42
1766404800000,0.339,0.343,0.339,0.34,1675316.53
1766408400000,0.339,0.34,0.337,0.339,1134065.17
1766412000000,0.339,0.342,0.336,0.34,2357355.51
1766415600000,0.34,0.342,0.336,0.34,2533801.98
1766419200000,0.34,0.341,0.336,0.337,1132647.63
1766422800000,0.337,0.338,0.332,0.333,1834035.75
1766426400000,0.334,0.337,0.333,0.334,1161938.93
1766430000000,0.334,0.335,0.327,0.328,1836557.23
1766433600000,0.327,0.332,0.326,0.329,1935140.55
1766437200000,0.328,0.333,0.328,0.329,819340.97
1766440800000,0.329,0.334,0.328,0.334,660713.97
1766444400000,0.333,0.336,0.332,0.336,1285686.29
1766448000000,0.335,0.341,0.335,0.338,1963014.26
1766451600000,0.338,0.339,0.336,0.337,868623.84
1766455200000,0.337,0.339,0.332,0.332,2001618.64
1766458800000,0.332,0.334,0.33,0.331,1523286.14
1766462400000,0.331,0.332,0.33,0.331,1486218.42
1766466000000,0.331,0.332,0.318,0.324,6216532.87
1766469600000,0.323,0.326,0.322,0.325,3541602.59
1766473200000,0.324,0.325,0.321,0.322,1399907.6
1766476800000,0.322,0.324,0.321,0.322,935834.7
1766480400000,0.322,0.325,0.321,0.323,1192311.16
1766484000000,0.323,0.327,0.322,0.325,1409945.3
1766487600000,0.326,0.327,0.325,0.325,1008811.46
1766491200000,0.325,0.326,0.323,0.324,817379.05
1766494800000,0.324,0.324,0.318,0.32,2087790.01
1766498400000,0.32,0.322,0.314,0.318,3503387.52
1766502000000,0.319,0.32,0.317,0.318,1621231.29
1766505600000,0.318,0.326,0.317,0.325,3490227.7
1766509200000,0.325,0.326,0.319,0.32,1488388.15
1766512800000,0.32,0.327,0.319,0.326,1703159.03
1766516400000,0.326,0.327,0.324,0.326,1469505.53
1766520000000,0.326,0.329,0.324,0.326,1596585.31
1766523600000,0.325,0.326,0.324,0.324,1106594.1
1766527200000,0.324,0.326,0.322,0.323,873100.62
1766530800000,0.322,0.324,0.32,0.322,1564647.74
1766534400000,0.322,0.324,0.321,0.322,1148179.38
1766538000000,0.323,0.324,0.318,0.319,1555624.24
1766541600000,0.319,0.319,0.313,0.315,1467035.28
1766545200000,0.314,0.318,0.312,0.318,1590281.46
1766548800000,0.318,0.319,0.315,0.316,1017702.84
1766552400000,0.315,0.317,0.312,0.313,1310242.81
1766556000000,0.314,0.316,0.313,0.316,889302.14
1766559600000,0.316,0.321,0.316,0.319,1599406.47
1766563200000,0.319,0.321,0.315,0.317,3788830.38
1766566800000,0.317,0.318,0.316,0.317,1083459.86
1766570400000,0.317,0.318,0.316,0.316,862639.14
1766574000000,0.317,0.318,0.316,0.316,1172299.27
1766577600000,0.316,0.319,0.316,0.319,973276.61
1766581200000,0.318,0.318,0.316,0.317,990722.63
1766584800000,0.317,0.321,0.313,0.319,3337879.43
1766588400000,0.32,0.324,0.318,0.323,1973835.0
1766592000000,0.322,0.324,0.319,0.322,2125441.48
1766595600000,0.322,0.323,0.319,0.32,1652729.36
1766599200000,0.32,0.322,0.32,0.322,736524.2
1766602800000,0.322,0.323,0.321,0.322,612618.49
1766606400000,0.323,0.325,0.322,0.322,462932.8
1766610000000,0.322,0.324,0.321,0.323,489274.2
1766613600000,0.323,0.326,0.323,0.326,820979.55
1766617200000,0.326,0.326,0.323,0.324,762334.91
1766620800000,0.324,0.325,0.321,0.321,1455028.79
1766624400000,0.321,0.324,0.321,0.323,813539.49
1766628000000,0.322,0.325,0.322,0.324,802996.98
1766631600000,0.325,0.325,0.323,0.325,764213.22
1766635200000,0.325,0.328,0.324,0.327,676980.26
